xi,ti,ci
10,6.85,0.977157
10,6.9,0.979393
10,6.95,0.981415
10,7,0.983242
10,7.05,0.98489
10,7.1,0.986376
10,7.15,0.987714
10,7.2,0.988918
10,7.25,0.99
10,7.3,0.990972
10,7.35,0.991844
10,7.4,0.992625
10,7.45,0.993325
10,7.5,0.993952
10,7.55,0.994512
10,7.6,0.995012
10,7.65,0.995459
10,7.7,0.995858
10,7.75,0.996214
10,7.8,0.996531
10,7.85,0.996813
10,7.9,0.997065
10,7.95,0.997288
10,8,0.997487
10,8.05,0.997663
10,8.1,0.99782
10,8.15,0.997959
10,8.2,0.998082
10,8.25,0.998192
10,8.3,0.998289
10,8.35,0.998374
10,8.4,0.99845
10,8.45,0.998518
10,8.5,0.998577
10,8.55,0.99863
10,8.6,0.998676
10,8.65,0.998717
10,8.7,0.998754
10,8.75,0.998786
10,8.8,0.998814
10,8.85,0.998839
10,8.9,0.998861
10,8.95,0.99888
10,9,0.998897
10,9.05,0.998912
10,9.1,0.998926
10,9.15,0.998937
10,9.2,0.998948
10,9.25,0.998957
10,9.3,0.998965
10,9.35,0.998972
10,9.4,0.998978
10,9.45,0.998983
10,9.5,0.998988
10,9.55,0.998992
10,9.6,0.998996
10,9.65,0.998999
10,9.7,0.999002
10,9.75,0.999004
10,9.8,0.999007
10,9.85,0.999009
10,9.9,0.99901
10,9.95,0.999012
10,10,0.999013
10,10.05,0.999014
10,10.1,0.999015
10,10.15,0.999016
10,10.2,0.999017
10,10.25,0.999017
10,10.3,0.999018
10,10.35,0.999019
10,10.4,0.999019
10,10.45,0.999019
10,10.5,0.99902
10,10.55,0.99902
10,10.6,0.99902
10,10.65,0.999021
10,10.7,0.999021
10,10.75,0.999021
10,10.8,0.999021
10,10.85,0.999021
10,10.9,0.999021
10,10.95,0.999021
10,11,0.999022
10,11.05,0.999022
10,11.1,0.999022
10,11.15,0.999022
10,11.2,0.999022
10,11.25,0.999022
10,11.3,0.999022
10,11.35,0.999022
10,11.4,0.999022
10,11.45,0.999022
10,11.5,0.999022
10,11.55,0.999022
10,11.6,0.999022
10,11.65,0.999022
10,11.7,0.999022
10,11.75,0.999022
10,11.8,0.999022
10,11.85,0.999022
10,11.9,0.999022
10,11.95,0.999022
10,12,0.999022
10,12.05,0.999022
10,12.1,0.999022
10,12.15,0.999022
10,12.2,0.999022
10,12.25,0.999022
10,12.3,0.999022
10,12.35,0.999022
10,12.4,0.999022
10,12.45,0.999022
10,12.5,0.999022
10,12.55,0.999022
10,12.6,0.999022
10,12.65,0.999022
10,12.7,0.999022
10,12.75,0.999022
10,12.8,0.999022
10,12.85,0.999022
10,12.9,0.999022
10,12.95,0.999022
10,13,0.999022
10,13.05,0.999022
10,13.1,0.999022
10,13.15,0.999022
10,13.2,0.999022
10,13.25,0.999022
10,13.3,0.999022
10,13.35,0.999022
10,13.4,0.999022
10,13.45,0.999022
10,13.5,0.999022
10,13.55,0.999022
10,13.6,0.999022
10,13.65,0.999022
10,13.7,0.999022
10,13.75,0.999022
10,13.8,0.999022
10,13.85,0.999022
10,13.9,0.999022
10,13.95,0.999022
10,14,0.999022
10,14.05,0.999022
10,14.1,0.999022
10,14.15,0.999022
10,14.2,0.999022
10,14.25,0.999022
10,14.3,0.999022
10,14.35,0.999022
10,14.4,0.999022
10,14.45,0.999022
10,14.5,0.999022
10,14.55,0.999022
10,14.6,0.999022
10,14.65,0.999022
10,14.7,0.999022
10,14.75,0.999022
10,14.8,0.999022
10,14.85,0.999022
10,14.9,0.999022
10,14.95,0.999022
